,Character,Pinyin,C1Type,Strokes,Frequency,C1Frequency,AdjustedFrequency,AdjustedC1Frequency
275,嗙,pang3,PicPho,13,0.1408,0.1333,0.1408,0.1333
276,史,shi3,PicSyn,5,23.1134,143.3037,23.1134,143.3037
277,滕,teng2,Other,15,0.0964,2.1679,0.0964,2.1679
278,书,shu1,Other,4,170.7265,358.4346,170.7265,358.4346
279,归,gui1,Other,5,71.2528,144.163,71.2528,144.163
280,衍,yan3,PicSyn,9,0.0222,6.5284,0.0222,6.5284
281,欸,ai1,PicPho,11,0.5634,1.5111,0.5634,1.5111
282,转,zhuan4,PicPho,8,158.1171,591.0963,158.1171,591.0963
283,剧,ju4,PicPho,10,24.2995,226.9728,24.2995,226.9728
284,敲,qiao1,PicPho,14,15.2854,39.5605,15.2854,39.5605
285,成,cheng2,PicSyn,6,369.7035,2464.4938,369.7035,2464.4938
286,粉,fen3,PicPho,10,8.3543,290.716,8.3543,290.716
287,嗄,a2,PicPho,13,0.2446,0.7605,0.2446,0.7605
288,擤,xing3,PicSyn,17,0.2817,0.558,0.2817,0.558
289,噘,jue1,PicPho,15,0.1408,0.2667,0.1408,0.2667
290,晚,wan3,PicPho,11,269.1846,1634.5432,269.1846,1634.5432
291,睾,gao1,PicSyn,14,0.0964,1.9753,0.0964,1.9753
292,李,li3,PicPho,7,30.3336,194.5975,30.3336,194.5975
293,榛,zhen1,PicPho,14,0.0667,2.3457,0.0667,2.3457
294,耽,dan1,PicPho,10,2.0979,8.4346,2.0979,8.4346
295,妄,wang4,PicPho,6,0.8747,13.1704,0.8747,13.1704
296,攥,zuan4,PicPho,23,0.2743,1.1259,0.2743,1.1259
297,箩,luo2,PicPho,14,0.1927,1.037,0.1927,1.037
298,据,ju4,PicPho,11,56.7309,199.3531,56.7309,199.3531
299,走,zou3,PicSyn,7,1010.1779,1060.6222,1010.1779,1060.6222
300,烛,zhu2,Other,10,0.1557,17.358,0.1557,17.358
301,待,dai4,PicPho,9,90.6153,439.4222,90.6153,439.4222
302,袄,ao3,PicPho,9,0.1927,5.1259,0.1927,5.1259
303,赋,fu4,PicPho,12,1.0897,16.3556,1.0897,16.3556
304,林,lin2,PicSyn,8,27.5019,222.0593,27.5019,222.0593
305,止,zhi3,Picto,4,19.8369,186.321,2391.9422,7823.0025
306,肴,yao2,PicPho,8,0.0815,2.8543,0.0815,2.8543
307,肝,gan1,PicPho,7,2.1572,29.2642,2.1572,29.2642
308,僧,seng1,PicPho,14,0.2891,12.8247,0.2891,12.8247
309,茫,mang2,PicPho,9,0.1557,41.7531,0.1557,41.7531
310,靥,ye4,PicPho,15,0.0964,0.8543,0.0964,0.8543
311,郎,lang2,PicPho,9,4.6924,78.1284,4.6924,78.1284
312,缓,huan3,PicPho,12,6.0415,45.9012,6.0415,45.9012
313,启,qi3,PicSyn,7,2.55,72.7605,2.55,72.7605
314,昱,yu4,PicPho,9,0.0964,0.5383,0.0964,0.5383
315,搀,chan1,Other,12,0.2001,1.7086,0.2001,1.7086
316,街,jie1,PicPho,12,106.6197,286.8049,106.6197,286.8049
317,类,lei4,PicPho,9,72.0608,193.0025,72.0608,193.0025
318,仔,zi3,PicPho,5,8.2209,153.4074,8.2209,153.4074
319,劝,quan4,Other,4,14.5219,16.0198,14.5219,16.0198
320,加,jia1,PicSyn,5,163.0022,1169.5901,163.0022,1169.5901
321,虹,hong2,PicPho,9,0.8895,34.8691,0.8895,34.8691
322,补,bu3,PicPho,7,68.7991,152.1926,68.7991,152.1926
323,矿,kuang4,PicPho,8,4.2031,20.2321,4.2031,20.2321
324,纨,wan2,PicPho,6,0.0297,0.4395,0.0297,0.4395
325,泷,long2,PicPho,8,0.2001,0.9037,0.2001,0.9037
326,剑,jian4,PicPho,9,91.8087,110.4938,91.8087,110.4938
327,坡,po1,PicPho,8,2.9577,35.0123,2.9577,35.0123
328,馊,sou1,PicPho,12,0.2965,0.9383,0.2965,0.9383
329,脾,pi2,PicPho,12,0.2965,52.242,0.2965,52.242
330,跨,kua4,PicPho,13,8.1023,33.4765,8.1023,33.4765
331,栈,zhan4,PicPho,9,0.1408,26.9926,0.1408,26.9926
332,栗,li4,PicSyn,10,1.0452,8.6963,1.0452,8.6963
333,恢,hui1,PicPho,9,0.0222,34.6074,0.0222,34.6074
334,糗,qiu3,PicPho,16,1.616,6.4741,1.616,6.4741
335,铁,tie3,Other,10,41.8087,195.1309,41.8087,195.1309
336,绕,rao4,PicPho,9,17.8428,38.2815,17.8428,38.2815
337,次,ci4,PicPho,6,1619.8147,1271.1259,1619.8147,1271.1259
338,坪,ping2,PicPho,8,0.8154,6.4988,0.8154,6.4988
339,勇,yong3,PicPho,9,25.9007,140.7605,25.9007,140.7605
340,淮,huai2,PicPho,11,0.0222,7.2099,0.0222,7.2099
341,秽,hui4,PicPho,11,0.252,2.3062,0.252,2.3062
342,雇,gu4,PicPho,12,11.9051,35.116,11.9051,35.116
343,鼓,gu3,PicSyn,13,10.9859,91.8173,10.9859,91.8173
344,炖,dun4,PicPho,8,14.2254,14.0741,14.2254,14.0741
345,工,gong1,Picto,3,15.6931,730.3556,1922.0681,7514.547999999998
346,狗,gou3,PicPho,8,241.5419,255.837,241.5419,255.837
347,村,cun1,PicPho,7,38.8362,115.5407,38.8362,115.5407
348,撞,zhuang4,PicPho,15,47.4648,80.0741,47.4648,80.0741
349,瘪,bie3,PicSyn,15,2.0385,2.5481,2.0385,2.5481
350,眸,mou2,PicPho,11,0.2595,7.4716,0.2595,7.4716
351,银,yin2,PicPho,11,29.6887,153.8914,29.6887,153.8914
352,骆,luo4,PicPho,9,0.1038,4.5827,0.1038,4.5827
353,载,zai4,Other,10,17.5093,585.1506,17.5093,585.1506
354,刑,xing2,PicPho,6,1.4826,41.121,1.4826,41.121
355,灯,deng1,PicPho,6,66.7976,163.0173,66.7976,163.0173
356,彰,zhang1,PicPho,14,0.2743,6.0198,0.2743,6.0198
357,籽,zi3,PicPho,9,0.3262,5.2889,0.3262,5.2889
358,嗒,da1,PicPho,13,1.6457,10.079,1.6457,10.079
359,噩,e4,Other,16,0.0741,24.0444,0.0741,24.0444
360,晖,hui1,PicPho,10,0.0741,2.9432,0.0741,2.9432
361,求,qiu2,Picto,7,411.3714,581.1506,606.5011000000001,1211.8322
362,拴,shuan1,PicPho,9,1.3788,2.9235,1.3788,2.9235
363,集,ji2,PicSyn,12,127.7984,263.2988,127.7984,263.2988
364,地,de5,PicPho,6,817.2276,2165.5259,817.2276,2165.5259
365,贷,dai4,PicPho,9,0.5263,11.8765,0.5263,11.8765
366,肘,zhou3,PicSyn,7,0.4299,4.237,0.4299,4.237
367,阎,yan2,PicPho,11,0.0593,1.8815,0.0593,1.8815
368,育,yu4,PicSyn,7,1.7865,105.758,1.7865,105.758
369,默,mo4,PicPho,16,2.0163,134.6667,2.0163,134.6667
370,宋,song4,PicSyn,7,9.2365,26.5037,9.2365,26.5037
371,卷,juan4,PicPho,8,30.6004,83.8173,30.6004,83.8173
372,象,xiang4,Picto,12,73.8547,272.1877,924.1957,1145.2889
373,列,lie4,PicPho,6,16.7606,138.3704,16.7606,138.3704
374,潜,qian2,Other,15,1.5864,63.6691,1.5864,63.6691
375,琢,zuo2,PicPho,12,0.0371,6.316,0.0371,6.316
376,翱,ao2,PicPho,16,0.0741,1.0667,0.0741,1.0667
377,代,dai4,PicSyn,5,58.6064,428.4642,58.6064,428.4642
378,咂,za1,PicPho,8,0.2669,0.9037,0.2669,0.9037
379,道,dao4,PicSyn,12,100.1779,2396.7111,100.1779,2396.7111
380,审,shen3,PicPho,8,4.6256,52.2716,4.6256,52.2716
381,隋,sui2,Other,12,0.7413,3.6889,0.7413,3.6889
382,县,xian4,PicSyn,7,9.3032,47.1457,9.3032,47.1457
383,拇,mu3,PicPho,8,0.1483,6.7704,0.1483,6.7704
384,备,bei4,PicSyn,8,8.0133,416.8691,8.0133,416.8691
385,裔,yi4,PicPho,13,2.2387,4.884,2.2387,4.884
386,桨,jiang3,Other,10,0.8895,1.2346,0.8895,1.2346
387,烫,tang4,PicPho,10,25.3818,30.0198,25.3818,30.0198
388,蕴,yun4,PicPho,15,0.1112,3.679,0.1112,3.679
389,堡,bao3,PicPho,12,2.4018,38.5778,2.4018,38.5778
390,吞,tun1,PicPho,7,5.3002,23.0025,5.3002,23.0025
391,壳,qiao4,Other,7,12.9281,34.4099,12.9281,34.4099
392,趁,chen4,PicPho,12,28.9918,42.2815,28.9918,42.2815
393,黄,huang2,Picto,11,40.1186,244.7062,54.9444,295.8865
394,醉,zui4,PicSyn,15,137.3907,142.4346,137.3907,142.4346
395,饱,bao3,PicPho,8,47.8947,70.9679,47.8947,70.9679
396,岗,gang3,PicPho,7,1.3269,25.6938,1.3269,25.6938
397,万,wan4,Other,3,357.2128,576.3111,363.8622,846.163
398,嗲,dia3,PicPho,13,1.4455,8.3506,1.4455,8.3506
399,竭,jie2,PicPho,14,0.8006,10.084,0.8006,10.084
400,朝,zhao1,PicSyn,12,42.6686,95.5901,42.6686,95.5901
401,蓄,xu4,PicPho,13,1.4529,12.5086,1.4529,12.5086
402,途,tu2,PicPho,10,2.9726,87.037,2.9726,87.037
403,九,jiu3,Picto,2,72.765,168.0938,355.1892,1424.7306999999998
404,皆,jie1,PicSyn,9,33.8992,25.6247,33.8992,25.6247
405,嫌,xian2,PicPho,13,19.4811,46.6568,19.4811,46.6568
406,鉴,jian4,PicPho,13,1.0897,39.3728,1.0897,39.3728
407,螺,luo2,PicPho,17,0.1927,14.5136,0.1927,14.5136
408,胁,xie2,Other,8,0.1112,21.679,0.1112,21.679
409,鼠,shu3,Picto,13,8.169,67.437,8.8658,68.6271
410,只,zhi3,PicLog,5,1958.6212,2008.9679,1958.6212,2008.9679
411,邑,yi4,PicSyn,7,0.1186,1.1259,0.1186,1.1259
412,烩,hui4,PicPho,10,0.1927,2.3111,0.1927,2.3111
413,孩,hai2,PicPho,9,3.1875,758.1975,3.1875,758.1975
414,期,qi1,PicPho,12,104.7443,682.2765,104.7443,682.2765
415,璐,lu4,PicPho,17,0.2076,3.5407,0.2076,3.5407
416,旗,qi2,PicPho,14,5.5448,51.6593,5.5448,51.6593
417,透,tou4,PicPho,10,43.1208,99.1407,43.1208,99.1407
418,靴,xue1,PicPho,13,1.5345,38.3852,1.5345,38.3852
419,庞,pang2,PicPho,8,1.3491,13.2494,1.3491,13.2494
420,战,zhan4,PicPho,9,106.4196,721.5358,106.4196,721.5358
421,挠,nao2,PicPho,9,1.5122,6.5185,1.5122,6.5185
422,屑,xie4,PicPho,10,1.0675,10.3111,1.0675,10.3111
423,夜,ye4,Other,8,527.2424,1069.8815,527.2424,1069.8815
424,姚,yao2,PicPho,9,3.6546,13.0963,3.6546,13.0963
425,羞,xiu1,PicSyn,11,1.9051,32.0296,1.9051,32.0296
426,痨,lao2,PicPho,12,0.0445,0.8198,0.0445,0.8198
427,屹,yi4,PicPho,6,0.0148,1.4321,0.0148,1.4321
428,瘦,shou4,PicPho,15,63.2913,80.1679,63.2913,80.1679
429,办,ban4,Other,4,193.0096,385.7975,193.0096,385.7975
430,佳,jia1,PicSyn,8,100.0,143.8321,100.0,143.8321
431,织,zhi1,PicPho,8,36.4566,120.2123,36.4566,120.2123
432,扶,fu2,PicPho,7,4.3291,17.6247,4.3291,17.6247
433,丰,feng1,Picto,4,7.2572,117.4815,698.2281,1485.6047999999998
434,倍,bei4,PicPho,10,47.7094,56.9481,47.7094,56.9481
435,诉,su4,PicPho,7,1.6753,479.4716,1.6753,479.4716
436,蜕,tui4,PicPho,13,0.0815,5.4321,0.0815,5.4321
437,蔑,mie4,PicSyn,14,0.1112,4.5679,0.1112,4.5679
438,泼,po1,PicPho,8,5.7672,16.9877,5.7672,16.9877
439,咀,ju3,PicPho,8,0.126,3.8864,0.126,3.8864
440,璜,huang2,PicPho,16,0.1186,0.2963,0.1186,0.2963
441,毗,pi2,PicPho,9,0.0371,0.5284,0.0371,0.5284
442,呜,wu1,PicPho,7,5.619,51.2543,5.619,51.2543
443,统,tong3,PicPho,9,1.0156,183.0074,1.0156,183.0074
444,苦,ku3,PicPho,8,114.6479,367.7679,114.6479,367.7679
445,沥,li4,PicPho,7,0.0667,7.6642,0.0667,7.6642
446,颊,jia2,PicPho,12,1.2528,5.1951,1.2528,5.1951
447,您,nin2,PicPho,11,522.0163,358.5284,522.0163,358.5284
448,利,li4,PicSyn,7,37.0941,668.9926,37.0941,668.9926
449,惟,wei2,PicPho,11,2.7724,6.5037,2.7724,6.5037
450,摇,yao2,PicPho,13,27.6205,68.9531,27.6205,68.9531
451,猎,lie4,Other,11,2.4314,28.6272,2.4314,28.6272
452,儒,ru2,PicPho,16,0.6894,8.6864,0.6894,8.6864
453,放,fang4,PicPho,8,528.7843,1139.7531,528.7843,1139.7531
454,概,gai4,PicPho,13,1.3788,74.9827,1.3788,74.9827
455,荷,he2,PicPho,10,7.5686,36.1185,7.5686,36.1185
456,锹,qiao1,PicPho,14,0.0815,0.4642,0.0815,0.4642
457,到,dao4,PicPho,8,3228.8139,5288.1432,3228.8139,5288.1432
458,恙,yang4,PicPho,10,0.0519,2.5284,0.0519,2.5284
459,缴,zhuo2,PicPho,16,2.0385,9.0914,2.0385,9.0914
460,薄,bao2,PicPho,16,23.106,68.9531,23.106,68.9531
461,卸,xie4,PicSyn,8,5.4114,19.7136,5.4114,19.7136
462,奄,yan3,PicPho,8,0.0297,1.3037,0.0297,1.3037
463,涌,yong3,PicPho,10,3.5656,23.2741,3.5656,23.2741
464,巨,ju4,Picto,5,21.1638,144.1679,91.6087,400.4099
465,短,duan3,PicSyn,12,80.1112,294.3951,80.1112,294.3951
466,杵,chu3,PicPho,8,0.252,1.1951,0.252,1.1951
467,氏,shi4,Picto,4,10.9414,20.4593,473.8399,1574.1383999999998
468,梯,ti1,PicPho,11,1.1193,40.6222,1.1193,40.6222
469,龚,gong1,PicPho,11,0.6227,1.9062,0.6227,1.9062
470,习,xi2,PicSyn,3,1.9718,288.8148,146.96809999999996,928.3604
471,嗽,sou4,PicPho,14,0.0445,18.4593,0.0445,18.4593
472,呓,yi4,PicPho,7,0.0519,0.5975,0.0519,0.5975
473,废,fei4,PicPho,8,12.5204,57.7333,12.5204,57.7333
474,褐,he4,PicPho,14,0.3484,3.3432,0.3484,3.3432
475,度,du4,PicPho,9,172.1349,1239.8568,172.1349,1239.8568
476,肾,shen4,Other,8,14.255,16.9383,14.255,16.9383
477,国,guo2,PicSyn,8,860.8154,1661.2593,860.8154,1661.2593
478,弥,mi2,PicPho,8,2.1127,30.5975,2.1127,30.5975
479,穴,xue2,Picto,5,3.2024,11.7728,3.2024,11.7728
480,葬,zang4,PicSyn,12,1.0304,17.4864,1.0304,17.4864
481,隶,li4,Other,8,0.0667,8.163,0.0667,8.163
482,汽,qi4,PicPho,7,0.3558,73.2543,0.3558,73.2543
483,谏,jian4,PicPho,11,0.0593,0.2765,0.0593,0.2765
484,盯,ding1,PicPho,7,29.533,22.4444,29.533,22.4444
485,领,ling3,PicPho,11,40.808,408.5926,40.808,408.5926
486,冻,dong4,PicPho,7,57.361,122.8,57.361,122.8
487,雄,xiong2,PicPho,12,13.4989,192.9877,13.4989,192.9877
488,激,ji1,PicPho,16,2.2683,235.9012,2.2683,235.9012
489,诀,jue2,PicPho,6,0.0815,11.0173,0.0815,11.0173
490,撤,che4,Other,14,3.3136,18.0346,3.3136,18.0346
491,举,ju3,Other,9,23.8918,176.0296,23.8918,176.0296
492,槌,chui2,PicPho,14,0.4522,1.4222,0.4522,1.4222
493,礼,li3,PicSyn,5,104.2402,383.5556,104.2402,383.5556
494,才,cai2,Picto,3,1376.1082,1072.0691,12046.9534,10676.4888
495,腔,qiang1,PicSyn,12,3.3803,18.3309,3.3803,18.3309
496,系,xi4,PicSyn,7,353.8028,679.2346,353.8028,679.2346
497,怪,guai4,PicPho,8,101.4752,228.7951,101.4752,228.7951
498,眉,mei2,Picto,9,7.4796,36.9185,7.4796,36.9185
499,迦,jia1,PicPho,8,0.3781,3.921,0.3781,3.921
500,棕,zong1,PicPho,12,0.8895,9.9901,0.8895,9.9901
501,刷,shua1,Other,8,9.4663,149.0963,9.4663,149.0963
502,罄,qing4,PicPho,17,0.0593,0.8247,0.0593,0.8247
503,嚣,xiao1,PicSyn,18,0.2001,24.5284,0.2001,24.5284
504,显,xian3,PicPho,9,16.805,172.1481,16.805,172.1481
505,的,de5,PicPho,8,46943.4618,32392.158,46943.4618,32392.158
506,罐,guan4,PicPho,24,13.6323,22.163,13.6323,22.163
507,换,huan4,PicPho,10,296.8421,348.558,296.8421,348.558
508,独,du2,Other,9,10.4299,199.9062,10.4299,199.9062
509,娴,xian2,PicPho,10,0.0667,5.0716,0.0667,5.0716
