,Character,Pinyin,C1Type,Strokes,Frequency,C1Frequency,AdjustedFrequency,AdjustedC1Frequency
902,抡,lun1,PicPho,7,0.2965,0.7259,0.2965,0.7259
903,脱,tuo1,PicPho,11,33.7213,121.9062,33.7213,121.9062
904,瀑,pu4,PicPho,18,0.1112,12.4346,0.1112,12.4346
905,摘,zhai1,Other,14,20.6672,36.4642,20.6672,36.4642
906,离,li2,PicPho,11,138.8065,498.3852,138.8065,498.3852
907,啃,ken3,PicPho,11,13.7361,12.6173,13.7361,12.6173
908,易,yi4,Picto,8,88.2357,485.6741,88.2357,485.6741
909,妒,du4,PicPho,7,1.3491,32.5185,1.3491,32.5185
910,狸,li2,PicPho,10,0.0741,17.5358,0.0741,17.5358
911,宰,zai3,PicSyn,10,5.4188,21.7679,5.4188,21.7679
912,忒,te4,PicPho,7,10.9266,9.0519,10.9266,9.0519
913,族,zu2,PicSyn,11,12.7279,114.237,12.7279,114.237
914,穷,qiong2,Other,7,39.8962,57.3383,39.8962,57.3383
915,魂,hun2,PicPho,14,2.5574,121.2691,2.5574,121.2691
916,瞪,deng4,PicPho,17,4.9741,6.9136,4.9741,6.9136
917,汀,ting1,PicPho,5,0.6004,7.2346,0.6004,7.2346
918,榄,lan3,PicPho,13,0.1112,12.5432,0.1112,12.5432
919,谭,tan2,PicPho,14,1.3269,8.0049,1.3269,8.0049
920,缄,jian1,PicPho,12,0.1483,0.8198,0.1483,0.8198
921,昨,zuo2,PicPho,9,9.0882,355.1951,9.0882,355.1951
922,噬,shi4,PicPho,16,0.2298,4.8148,0.2298,4.8148
923,孤,gu1,PicPho,8,8.2654,128.8938,8.2654,128.8938
924,瑶,yao2,PicPho,14,0.2372,25.9951,0.2372,25.9951
925,漆,qi1,PicPho,14,1.9792,13.6494,1.9792,13.6494
926,颓,tui2,PicSyn,13,1.3566,9.4074,1.3566,9.4074
927,苛,ke1,PicPho,8,0.3781,6.4741,0.3781,6.4741
928,碳,tan4,PicPho,14,6.301,11.3136,6.301,11.3136
929,绞,jiao3,PicPho,9,0.5486,5.0864,0.5486,5.0864
930,姜,jiang1,PicPho,9,14.3217,35.8123,14.3217,35.8123
931,骐,qi2,PicPho,11,0.0667,0.3704,0.0667,0.3704
932,姥,lao3,PicPho,9,0.1186,23.5556,0.1186,23.5556
933,詹,zhan1,Other,13,0.8599,17.0123,0.8599,17.0123
934,卓,zhuo2,PicSyn,8,0.7413,27.5605,0.7413,27.5605
935,寥,liao2,PicPho,14,0.0148,3.363,0.0148,3.363
936,蓉,rong2,PicPho,13,1.2157,9.6494,1.2157,9.6494
937,偿,chang2,Other,11,1.49,20.7704,1.49,20.7704
938,媳,xi2,PicPho,13,0.0297,29.5654,0.0297,29.5654
939,埃,ai1,PicPho,10,2.4018,39.8963,2.4018,39.8963
940,彬,bin1,Other,11,0.4818,8.2272,0.4818,8.2272
941,锥,zhui1,PicPho,13,0.2446,1.8815,0.2446,1.8815
942,沐,mu4,PicPho,7,0.2076,10.1926,0.2076,10.1926
943,迪,di2,PicPho,8,8.0652,100.1827,8.0652,100.1827
944,非,fei1,Picto,8,139.9555,504.3506,486.5827000000001,1827.5012
945,找,zhao3,PicSyn,7,758.599,890.479,758.599,890.479
946,拳,quan2,Other,10,22.7502,35.921,22.7502,35.921
947,再,zai4,PicSyn,6,1598.5471,1282.6321,1598.5471,1282.6321
948,烘,hong1,PicPho,10,0.7339,7.0667,0.7339,7.0667
949,缶,fou3,Picto,6,0.0148,0.0642,115.6635,481.531
950,达,da2,PicPho,6,236.5456,526.2173,236.5456,526.2173
951,藕,ou3,PicPho,18,0.5041,6.5481,0.5041,6.5481
952,盾,dun4,Picto,9,5.1668,27.4321,5.1668,27.4321
953,傧,bin1,PicPho,12,0.0222,0.2222,0.0222,0.2222
954,播,bo1,PicPho,15,33.8473,185.6296,33.8473,185.6296
955,矣,yi3,Other,7,6.679,5.8272,6.679,5.8272
956,贪,tan1,PicPho,8,6.4566,38.3852,6.4566,38.3852
957,饼,bing3,PicPho,9,30.1334,62.8049,30.1334,62.8049
958,仲,zhong4,PicPho,6,5.5819,74.3259,5.5819,74.3259
959,疑,yi2,PicPho,14,4.8258,112.9037,4.8258,112.9037
960,梓,zi3,Other,11,0.0371,3.4469,0.0371,3.4469
961,绵,mian2,PicSyn,11,0.1483,29.2198,0.1483,29.2198
962,癌,ai2,PicPho,17,1.4678,28.4938,1.4678,28.4938
963,威,wei1,PicPho,9,3.5582,138.0198,3.5582,138.0198
964,樱,ying1,PicPho,15,0.4744,22.3457,0.4744,22.3457
965,莞,wan3,PicPho,10,0.0593,14.0494,0.0593,14.0494
966,雕,diao1,PicPho,16,0.7932,40.084,0.7932,40.084
967,赠,zeng4,PicPho,16,6.3973,38.4099,6.3973,38.4099
968,机,ji1,PicPho,6,28.8658,1506.3259,28.8658,1506.3259
969,咎,jiu4,PicSyn,8,0.126,2.1778,0.126,2.1778
970,曼,man4,Other,11,7.3462,69.2296,7.3462,69.2296
971,朴,piao2,PicPho,6,2.5945,20.4593,2.5945,20.4593
972,坏,huai4,Other,7,167.5834,203.1654,167.5834,203.1654
973,佬,lao3,PicPho,8,9.9481,47.9901,9.9481,47.9901
974,域,yu4,PicPho,11,0.5189,34.3111,0.5189,34.3111
975,忖,cun3,PicPho,6,0.0148,0.8938,0.0148,0.8938
976,恣,zi4,PicPho,10,0.0297,0.8741,0.0297,0.8741
977,蔵,cang2,Other,14,0.0371,0.0889,0.0371,0.0889
978,惺,xing1,PicPho,12,0.3484,3.9654,0.3484,3.9654
979,又,you4,Picto,2,2119.4589,1429.6346,16565.5379,33736.873600000006
980,良,liang2,PicSyn,7,4.3588,120.4741,4.3588,120.4741
981,龄,ling2,PicPho,13,0.6301,61.2691,0.6301,61.2691
982,喘,chuan3,PicPho,12,9.407,13.1259,9.407,13.1259
983,鲍,bao4,PicPho,13,3.7732,20.7259,3.7732,20.7259
984,建,jian4,PicSyn,9,21.1342,256.8,21.1342,256.8
985,瘾,yin3,PicPho,16,2.4759,33.679,2.4759,33.679
986,拍,pai1,PicPho,8,233.8992,286.2963,233.8992,286.2963
987,乔,qiao2,Other,6,71.3936,88.6074,71.3936,88.6074
988,劵,juan4,Other,8,0.0667,0.5284,0.0667,0.5284
989,欲,yu4,PicPho,11,37.0497,121.6889,37.0497,121.6889
990,潭,tan2,PicPho,15,0.3706,7.442,0.3706,7.442
991,园,yuan2,PicPho,7,6.8866,294.3407,6.8866,294.3407
992,拱,gong3,PicPho,9,1.6531,5.3728,1.6531,5.3728
993,当,dang4,Other,6,731.0526,1142.9679,731.0526,1142.9679
994,心,xin1,Picto,4,747.0274,3688.8741,8526.968400000002,21302.158000000003
995,贱,jian4,PicPho,9,7.0793,76.7111,7.0793,76.7111
996,僵,jiang1,PicPho,15,1.3417,35.1111,1.3417,35.1111
997,炉,lu2,PicPho,8,5.1075,34.3111,5.1075,34.3111
998,却,que4,PicPho,7,666.1453,452.479,666.1453,452.479
999,福,fu2,PicPho,14,64.0771,982.5136,64.0771,982.5136
