,rendered_character,stroke_gif_complexity
3322,魅,98.0
3323,殿,83.0
3324,政,57.0
3325,孙,41.0
3326,斧,45.0
3327,瑾,90.0
3328,娥,80.0
3329,策,80.0
3330,搏,72.0
3331,画,51.0
3332,呈,47.0
3333,各,49.0
3334,营,70.0
3335,宴,80.0
3336,窑,63.0
3337,诃,42.0
3338,蕃,83.0
3339,诺,80.0
3340,甘,32.0
3341,宗,51.0
3342,番,75.0
3343,威,63.0
3344,疾,70.0
3345,族,68.0
3346,嗽,68.0
3347,孽,96.0
3348,唐,80.0
3349,蒙,73.0
3350,时,47.0
3351,咸,53.0
3352,樊,88.0
3353,婴,82.0
3354,生,38.0
3355,镉,94.0
3356,许,41.0
3357,词,43.0
3358,门,24.0
3359,宠,62.0
3360,娶,86.0
3361,喆,80.0
3362,寒,69.0
3363,实,47.0
3364,旁,70.0
3365,教,70.0
3366,毙,80.0
3367,钓,54.0
3368,用,40.0
3369,橱,82.0
3370,咏,48.0
3371,畏,59.0
3372,训,42.0
3373,放,53.0
3374,宵,67.0
3375,毋,39.0
3376,对,41.0
3377,孟,68.0
3378,次,38.0
3379,宋,43.0
3380,寇,87.0
3381,驳,52.0
3382,筐,69.0
3383,学,51.0
3384,敌,76.0
3385,铃,66.0
3386,第,70.0
3387,窄,59.0
3388,毅,84.0
3389,故,59.0
3390,此,41.0
3391,誓,88.0
3392,铺,79.0
3393,檀,112.0
3394,哦,70.0
3395,葡,80.0
3396,穗,101.0
3397,间,47.0
3398,申,39.0
3399,同,47.0
3400,樟,88.0
3401,殷,80.0
3402,宅,40.0
3403,正,34.0
3404,斯,65.0
3405,坨,41.0
3406,虹,56.0
3407,盏,70.0
3408,衡,90.0
3409,霸,120.0
3410,曲,47.0
3411,颈,70.0
3412,梦,65.0
3413,堵,68.0
3414,星,63.0
3415,术,34.0
3416,饕,142.0
3417,姑,50.0
3418,奉,53.0
3419,祸,61.0
3420,褚,80.0
3421,圣,37.0
3422,坯,49.0
3423,城,59.0
3424,奎,51.0
3425,木,30.0
3426,桌,80.0
3427,图,61.0
3428,阶,44.0
3429,型,61.0
3430,相,55.0
3431,虎,59.0
3432,祈,50.0
3433,阿,68.0
3434,褪,83.0
3435,雒,86.0
3436,堂,55.0
3437,曼,65.0
3438,困,54.0
3439,器,108.0
3440,馈,77.0
3441,盆,53.0
3442,圭,43.0
3443,期,70.0
3444,坡,57.0
3445,降,59.0
3446,雕,100.0
3447,是,59.0
3448,示,34.0
3449,祝,61.0
3450,顾,80.0
3451,团,47.0
3452,眉,53.0
3453,桐,72.0
3454,姊,56.0
3455,大,28.0
3456,服,61.0
3457,雇,61.0
3458,角,59.0
3459,食,59.0
3460,陡,59.0
3461,雹,80.0
3462,阔,74.0
3463,晶,78.0
3464,矣,41.0
3465,雀,64.0
3466,杆,51.0
3467,襄,87.0
3468,禾,36.0
3469,杏,42.0
3470,天,34.0
3471,裕,65.0
3472,登,63.0
3473,衍,54.0
3474,陨,58.0
3475,飨,72.0
3476,秋,51.0
3477,昊,54.0
3478,央,38.0
3479,果,57.0
3480,某,61.0
3481,奢,70.0
3482,虫,43.0
3483,祭,62.0
3484,禹,60.0
3485,雷,73.0
3486,禀,84.0
3487,蛊,57.0
3488,盾,58.0
3489,柳,59.0
3490,复,60.0
3491,陵,80.0
3492,积,73.0
3493,见,38.0
3494,头,28.0
3495,奸,45.0
3496,壮,40.0
3497,雪,63.0
3498,柴,75.0
3499,街,72.0
3500,虏,59.0
3501,蛮,68.0
3502,妫,50.0
3503,礼,36.0
3504,视,59.0
3505,夺,41.0
3506,柄,59.0
3507,奶,43.0
3508,霾,125.0
3509,杜,45.0
3510,更,51.0
3511,祀,45.0
3512,晕,80.0
3513,奏,51.0
3514,震,80.0
3515,来,43.0
3516,颉,76.0
3517,秦,77.0
3518,睦,71.0
3519,昧,56.0
3520,饭,51.0
3521,妥,45.0
3522,砂,54.0
3523,坐,45.0
3524,处,36.0
3525,垄,48.0
3526,奈,47.0
3527,需,80.0
3528,柑,53.0
3529,非,57.0
3530,白,37.0
3531,外,34.0
3532,坂,45.0
3533,解,86.0
3534,顶,53.0
3535,昌,55.0
3536,省,55.0
3537,李,54.0
3538,地,51.0
3539,盛,70.0
3540,枚,51.0
3541,限,56.0
3542,颜,81.0
3543,阜,57.0
3544,堡,78.0
3545,皮,38.0
3546,裔,80.0
3547,行,45.0
3548,柯,53.0
3549,静,88.0
3550,枣,47.0
3551,福,84.0
3552,矛,35.0
3553,松,53.0
3554,奔,53.0
3555,妹,53.0
3556,朋,57.0
3557,革,65.0
3558,眶,61.0
3559,嘉,86.0
3560,矢,36.0
3561,妇,43.0
3562,始,55.0
3563,梅,70.0
3564,桑,80.0
3565,集,76.0
3566,昼,61.0
3567,祥,74.0
3568,知,49.0
3569,杀,41.0
3570,妾,54.0
3571,硕,70.0
3572,鲜,84.0
3573,距,70.0
3574,找,49.0
3575,泾,48.0
3576,刀,22.0
3577,涂,67.0
3578,厨,71.0
3579,古,38.0
3580,捷,70.0
3581,父,30.0
3582,江,38.0
3583,务,40.0
3584,贰,55.0
3585,口,26.0
3586,素,75.0
3587,污,41.0
3588,功,40.0
3589,荣,55.0
3590,所,51.0
3591,割,66.0
3592,气,32.0
3593,获,75.0
3594,拘,59.0
3595,舟,44.0
3596,峻,70.0
3597,泉,64.0
3598,贾,80.0
3599,原,68.0
3600,涵,81.0
3601,谷,45.0
3602,已,30.0
3603,扰,52.0
3604,赋,67.0
3605,簧,83.0
3606,液,76.0
3607,匀,30.0
3608,措,70.0
3609,厘,64.0
3610,叔,51.0
3611,动,45.0
3612,费,65.0
3613,勤,83.0
3614,赵,55.0
3615,到,55.0
3616,少,28.0
3617,匹,33.0
3618,卵,51.0
3619,牡,47.0
3620,浴,72.0
3621,苗,55.0
3622,卞,26.0
3623,州,36.0
3624,成,45.0
3625,沐,42.0
3626,足,47.0
3627,莫,69.0
3628,尺,35.0
3629,创,47.0
3630,越,74.0
3631,荆,53.0
3632,揍,75.0
3633,山,26.0
3634,氏,30.0
3635,匕,20.0
3636,爪,34.0
3637,粪,63.0
3638,叁,55.0
3639,占,40.0
3640,牟,40.0
3641,崴,79.0
3642,浊,52.0
3643,司,41.0
3644,射,74.0
3645,屈,59.0
3646,戮,74.0
3647,赐,78.0
3648,猪,70.0
3649,扫,46.0
3650,败,50.0
3651,王,30.0
3652,舍,53.0
3653,又,22.0
3654,扬,53.0
3655,范,67.0
3656,永,42.0
3657,尊,70.0
3658,叶,38.0
3659,差,55.0
3660,粤,77.0
3661,南,59.0
3662,沙,40.0
3663,别,47.0
3664,法,49.0
3665,勿,32.0
3666,拍,61.0
3667,劳,61.0
3668,赴,55.0
3669,履,100.0
3670,猎,70.0
3671,贸,65.0
3672,巍,93.0
3673,牲,51.0
3674,巴,31.0
3675,洒,59.0
3676,召,52.0
3677,环,55.0
3678,扶,47.0
3679,谏,54.0
3680,半,34.0
3681,制,61.0
3682,茧,59.0
3683,沽,47.0
3684,荒,64.0
3685,择,61.0
3686,莆,80.0
3687,报,55.0
3688,即,52.0
3689,巳,26.0
3690,班,80.0
3691,分,28.0
3692,池,46.0
3693,勒,70.0
3694,津,62.0
3695,舞,94.0
3696,深,63.0
3697,戍,39.0
3698,尧,49.0
3699,句,33.0
3700,洛,53.0
3701,芸,48.0
3702,岁,42.0
3703,河,53.0
3704,刁,18.0
3705,前,59.0
3706,承,64.0
3707,贱,57.0
3708,加,41.0
3709,戊,35.0
3710,谁,77.0
3711,浮,64.0
3712,苍,46.0
3713,号,38.0
3714,浅,49.0
3715,去,36.0
3716,卯,52.0
3717,勇,59.0
3718,銮,76.0
3719,扔,41.0
3720,战,61.0
3721,责,54.0
3722,勾,29.0
3723,谓,68.0
3724,物,57.0
3725,厂,18.0
3726,狱,58.0
3727,贝,35.0
3728,汲,43.0
3729,茅,56.0
3730,巨,34.0
3731,象,64.0
3732,台,38.0
3733,振,80.0
3734,貌,88.0
3735,舌,43.0
3736,卑,56.0
3737,厅,32.0
3738,贤,44.0
3739,戟,73.0
3740,厌,39.0
3741,牧,47.0
3742,鉴,70.0
3743,求,45.0
3744,或,53.0
3745,勉,66.0
3746,鲁,80.0
3747,剑,56.0
3748,巡,49.0
3749,测,57.0
3750,叹,40.0
3751,我,51.0
3752,珈,65.0
3753,玄,38.0
3754,赦,66.0
3755,贪,55.0
3756,糠,102.0
3757,洹,54.0
3758,狸,71.0
3759,貂,76.0
3760,牙,36.0
3761,左,34.0
3762,趋,69.0
3763,刚,45.0
3764,屎,55.0
3765,鸿,70.0
3766,廷,47.0
3767,潭,84.0
3768,今,34.0
3769,弓,32.0
3770,律,64.0
3771,丞,46.0
3772,丧,51.0
3773,慌,78.0
3774,迟,50.0
3775,众,38.0
3776,羽,40.0
3777,逞,70.0
3778,丙,40.0
3779,兀,26.0
3780,绿,70.0
3781,纳,51.0
3782,悖,74.0
3783,造,79.0
3784,罗,48.0
3785,臀,84.0
3786,帝,57.0
3787,置,76.0
3788,作,43.0
3789,燮,82.0
3790,还,45.0
3791,伐,42.0
3792,兹,57.0
3793,炒,45.0
3794,凡,31.0
3795,逐,75.0
3796,何,53.0
3797,经,55.0
3798,待,60.0
3799,重,67.0
3800,光,41.0
3801,鄙,82.0
3802,龙,42.0
3803,予,34.0
3804,灶,41.0
3805,羊,41.0
3806,席,80.0
3807,都,80.0
3808,传,49.0
3809,滋,71.0
3810,育,51.0
3811,终,51.0
3812,具,51.0
3813,熬,73.0
3814,缕,75.0
3815,怀,44.0
3816,便,58.0
3817,酒,79.0
3818,亏,32.0
3819,释,75.0
3820,买,38.0
3821,炎,42.0
3822,入,19.0
3823,函,51.0
3824,焦,65.0
3825,俘,53.0
3826,庙,53.0
3827,郑,55.0
3828,信,47.0
3829,渊,68.0
3830,常,75.0
3831,年,43.0
3832,追,61.0
3833,老,47.0
3834,义,24.0
3835,徐,67.0
3836,仑,34.0
3837,冈,36.0
3838,纯,49.0
3839,庞,55.0
3840,渴,68.0
3841,适,61.0
3842,绝,70.0
3843,冶,43.0
3844,出,42.0
3845,懈,88.0
3846,主,34.0
3847,耿,70.0
3848,亚,42.0
3849,龋,77.0
3850,他,45.0
3851,耆,67.0
3852,乎,38.0
3853,得,75.0
3854,鼓,71.0
3855,座,75.0
3856,鸣,61.0
3857,麻,61.0
3858,平,34.0
3859,续,69.0
3860,仟,32.0
3861,灭,34.0
3862,鄂,70.0
3863,下,24.0
3864,恐,71.0
3865,邪,60.0
3866,俯,69.0
3867,幺,28.0
3868,滩,62.0
3869,腊,77.0
3870,邓,38.0
3871,遇,78.0
3872,耶,53.0
3873,串,57.0
3874,幽,64.0
3875,郡,70.0
3876,金,49.0
3877,徙,75.0
3878,懿,124.0
3879,付,38.0
3880,酉,49.0
3881,公,32.0
3882,肩,60.0
3883,亭,55.0
3884,师,47.0
3885,依,55.0
3886,庐,45.0
3887,体,47.0
3888,辛,41.0
3889,渠,70.0
3890,冢,64.0
3891,任,41.0
3892,其,47.0
3893,身,51.0
3894,愈,76.0
3895,澈,81.0
3896,于,24.0
3897,龟,54.0
3898,军,43.0
3899,世,38.0
3900,偿,63.0
3901,廿,28.0
3902,羌,47.0
3903,遣,77.0
3904,共,41.0
3905,弥,46.0
3906,先,45.0
3907,丑,34.0
3908,里,51.0
3909,农,49.0
3910,仅,33.0
3911,争,49.0
3912,湛,66.0
3913,恃,52.0
3914,乔,40.0
3915,允,35.0
3916,丘,36.0
3917,引,29.0
3918,灾,49.0
3919,典,59.0
3920,烟,74.0
3921,冬,35.0
3922,织,59.0
3923,休,42.0
3924,庄,42.0
3925,介,32.0
3926,冒,63.0
3927,肃,59.0
3928,鼎,38.0
3929,徊,51.0
3930,延,42.0
3931,伯,45.0
3932,网,49.0
3933,膳,89.0
3934,麦,46.0
3935,连,51.0
3936,速,75.0
3937,麟,129.0
3938,道,71.0
3939,帛,58.0
3940,温,74.0
3941,仲,41.0
3942,兔,56.0
3943,不,30.0
3944,齐,38.0
3945,绫,66.0
3946,冀,88.0
3947,火,26.0
3948,井,34.0
3949,凌,74.0
3950,幼,40.0
3951,臭,63.0
3952,熏,80.0
3953,边,41.0
3954,燃,83.0
3955,息,68.0
3956,御,69.0
3957,临,61.0
3958,胤,70.0
3959,京,47.0
3960,酱,79.0
3961,憋,85.0
3962,弹,86.0
3963,达,43.0
3964,思,55.0
3965,滑,74.0
3966,幻,34.0
3967,自,38.0
3968,清,69.0
3969,肖,43.0
3970,上,24.0
3971,享,49.0
3972,腋,70.0
3973,俗,56.0
3974,亢,30.0
3975,彻,47.0
3976,为,34.0
3977,但,47.0
3978,伊,47.0
3979,逃,55.0
3980,俞,58.0
3981,腻,85.0
3982,度,55.0
3983,使,53.0
3984,干,26.0
3985,臣,43.0
3986,党,80.0
3987,聋,67.0
3988,乏,30.0
3989,脉,59.0
3990,丽,49.0
3991,愚,69.0
3992,乱,47.0
3993,股,59.0
3994,酸,87.0
3995,冰,42.0
3996,彼,54.0
3997,职,69.0
3998,龍,48.0
3999,肘,47.0
4000,冉,38.0
4001,羞,72.0
4002,辰,46.0
