,rendered_character,period,image_ID,dataset,SVG description length
3298,姻,Traditional,32,traditional,6118
3299,她,Simplified,56,casia,4560
3300,沸,Traditional,33,traditional,5305
3301,頭,Traditional,頭,SimSun,3880
3302,茄,Traditional,茄,Hiragino Sans GB,1942
3303,釀,Traditional,44,traditional,6553
3304,砂,Traditional,砂,SimSun,2373
3305,搽,Simplified,搽,SimSun,3519
3306,習,Traditional,34,traditional,4219
3307,尿,Traditional,25,traditional,3947
3308,牠,Traditional,牠,Hiragino Sans GB,2471
3309,稣,Bronze,B11142,hzy,4581
3310,蛋,Traditional,11,traditional,4622
3311,峨,Simplified,99,casia,4833
3312,鯊,Traditional,鯊,Hiragino Sans GB,3742
3313,办,Simplified,办,Hiragino Sans GB,2212
3314,鮑,Traditional,35,traditional,6756
3315,任,Traditional,任,SimSun,2338
3316,代,Simplified,代,SimSun,2633
3317,粥,Traditional,粥,SimSun,3838
3318,財,Traditional,財,SimSun,2491
3319,褲,Traditional,46,traditional,6365
3320,瓷,Simplified,瓷,Hiragino Sans GB,3336
3321,嫖,Simplified,45,casia,6101
3322,逆,Simplified,逆,Hiragino Sans GB,2237
3323,菲,Traditional,45,traditional,3442
3324,恩,Simplified,恩,Hiragino Sans GB,2444
3325,晋,Simplified,晋,Hiragino Sans GB,1850
3326,硼,Traditional,33,traditional,5614
3327,莱,Seal,S00723,hzy,3272
3328,眸,Seal,S02525,hzy,2716
3329,節,Traditional,43,traditional,4849
3330,災,Traditional,災,Hiragino Sans GB,2683
3331,屡,Simplified,屡,SimSun,4065
3332,盘,Oracle,J14183,hzy,2767
3333,语,Seal,S01651,hzy,4062
3334,焦,Bronze,B14859,hzy,3297
3335,奧,Traditional,奧,Hiragino Sans GB,2957
3336,咽,Simplified,54,casia,4285
3337,棘,Traditional,棘,Hiragino Sans GB,2413
3338,勿,Simplified,勿,Hiragino Sans GB,2347
3339,治,Simplified,治,SimSun,3016
3340,核,Seal,S04290,hzy,3445
3341,漕,Simplified,漕,SimSun,3406
3342,脂,Simplified,91,casia,4537
3343,趟,Traditional,趟,SimSun,3800
3344,蛤,Traditional,33,traditional,6498
3345,博,Simplified,76,casia,4765
3346,沭,Seal,S07987,hzy,3206
3347,圈,Simplified,113,casia,5029
3348,攻,Simplified,攻,Hiragino Sans GB,2742
3349,鶴,Traditional,鶴,SimSun,4465
3350,苛,Simplified,苛,Hiragino Sans GB,1517
3351,磷,Traditional,22,traditional,6813
3352,臊,Simplified,臊,Hiragino Sans GB,3240
3353,际,Simplified,际,Hiragino Sans GB,1865
3354,南,Simplified,南,SimSun,2737
3355,菇,Simplified,77,casia,4788
3356,鴻,Traditional,33,traditional,6112
3357,羸,Traditional,羸,SimSun,4122
3358,部,Simplified,部,SimSun,3043
3359,焉,Traditional,焉,Hiragino Sans GB,2179
3360,淑,Seal,S08106,hzy,3243
3361,乍,Traditional,23,traditional,2423
3362,付,Simplified,付,SimSun,2140
3363,拔,Traditional,17,traditional,5646
3364,玷,Simplified,46,casia,4448
3365,五,Bronze,B19862,hzy,2805
3366,岁,Seal,S01196,hzy,3139
3367,坯,Simplified,坯,Hiragino Sans GB,2011
3368,亮,Simplified,亮,SimSun,2480
3369,交,Traditional,交,SimSun,2031
3370,竟,Simplified,78,casia,3996
3371,剜,Simplified,剜,Hiragino Sans GB,2409
3372,委,Traditional,委,SimSun,3852
3373,妒,Traditional,妒,Hiragino Sans GB,2616
3374,殊,Traditional,殊,SimSun,3586
3375,条,Simplified,16,casia,3791
3376,免,Simplified,免,Hiragino Sans GB,2840
3377,掺,Simplified,掺,Hiragino Sans GB,3650
3378,琵,Simplified,琵,Hiragino Sans GB,2577
3379,辛,Bronze,B20602,hzy,2056
3380,玲,Traditional,玲,Hiragino Sans GB,2567
3381,盂,Oracle,J12268,hzy,2262
3382,在,Oracle,J28396,hzy,1773
3383,管,Traditional,管,SimSun,3038
3384,闷,Simplified,闷,Hiragino Sans GB,1987
3385,落,Seal,S00615,hzy,3650
3386,匡,Simplified,匡,SimSun,1687
3387,序,Traditional,序,SimSun,2290
3388,滲,Traditional,滲,SimSun,5303
3389,独,Simplified,独,SimSun,3275
3390,岬,Traditional,岬,SimSun,2035
3391,繆,Traditional,10,traditional,6494
3392,馭,Traditional,馭,SimSun,3327
3393,宏,Traditional,宏,Hiragino Sans GB,2498
3394,熵,Traditional,5,traditional,6568
3395,撲,Traditional,33,traditional,5625
3396,票,Seal,S07335,hzy,4106
3397,覆,Traditional,覆,SimSun,4860
3398,項,Traditional,項,Hiragino Sans GB,2252
3399,吟,Simplified,吟,Hiragino Sans GB,2239
3400,窟,Traditional,窟,SimSun,3181
3401,伸,Traditional,44,traditional,3874
3402,丹,Simplified,24,casia,2919
3403,潘,Simplified,潘,SimSun,3784
3404,畜,Seal,S10342,hzy,3307
3405,骰,Traditional,骰,SimSun,3959
3406,慚,Traditional,12,traditional,6326
3407,惊,Simplified,惊,Hiragino Sans GB,2164
3408,燼,Traditional,燼,Hiragino Sans GB,3247
3409,狗,Simplified,狗,SimSun,3239
3410,照,Simplified,照,Hiragino Sans GB,2503
3411,窗,Simplified,116,casia,4928
3412,梗,Traditional,梗,SimSun,3333
3413,題,Traditional,7,traditional,5978
3414,井,Simplified,井,SimSun,1774
3415,碼,Traditional,碼,SimSun,3576
3416,芽,Traditional,芽,Hiragino Sans GB,1826
3417,贪,Simplified,贪,SimSun,2593
3418,恕,Simplified,恕,SimSun,3513
3419,腱,Traditional,腱,Hiragino Sans GB,2872
3420,怪,Traditional,38,traditional,3748
3421,少,Simplified,少,SimSun,2140
3422,棕,Simplified,99,casia,4926
3423,乙,Simplified,乙,Hiragino Sans GB,1969
3424,嗜,Simplified,50,casia,4502
3425,常,Simplified,11,casia,4065
3426,次,Simplified,次,Hiragino Sans GB,2568
3427,粮,Simplified,粮,Hiragino Sans GB,3070
3428,潞,Simplified,潞,SimSun,4291
3429,膏,Simplified,膏,SimSun,2818
3430,泰,Simplified,泰,SimSun,3474
3431,运,Simplified,运,Hiragino Sans GB,2283
3432,夷,Traditional,夷,Hiragino Sans GB,2121
3433,擰,Traditional,擰,SimSun,4360
3434,揽,Simplified,揽,SimSun,3672
3435,贬,Simplified,贬,SimSun,2472
3436,焊,Traditional,焊,Hiragino Sans GB,1981
3437,聖,Traditional,聖,Hiragino Sans GB,2262
3438,爰,Traditional,爰,Hiragino Sans GB,3553
3439,淖,Simplified,137,casia,3902
3440,鬢,Traditional,7,traditional,6738
3441,租,Simplified,139,casia,4366
3442,史,Simplified,60,casia,4042
3443,栗,Seal,S04969,hzy,2962
3444,腌,Simplified,40,casia,5755
3445,相,Traditional,相,SimSun,2270
3446,攻,Traditional,47,traditional,5097
3447,劃,Traditional,24,traditional,4630
3448,取,Traditional,取,SimSun,3371
3449,那,Simplified,那,SimSun,2696
3450,傲,Simplified,傲,SimSun,4251
3451,鯉,Traditional,鯉,Hiragino Sans GB,3082
3452,菟,Traditional,23,traditional,4897
3453,者,Traditional,者,Hiragino Sans GB,2225
3454,煙,Traditional,煙,Hiragino Sans GB,2260
3455,逾,Simplified,57,casia,5061
3456,丸,Simplified,丸,Hiragino Sans GB,2114
3457,亨,Simplified,亨,SimSun,1955
3458,桑,Simplified,桑,Hiragino Sans GB,4424
3459,投,Traditional,投,SimSun,3017
3460,辱,Simplified,辱,Hiragino Sans GB,2771
3461,恨,Simplified,恨,SimSun,2433
3462,凝,Simplified,2,casia,5381
3463,竭,Simplified,竭,Hiragino Sans GB,3103
3464,疵,Simplified,29,casia,5005
3465,闊,Traditional,闊,SimSun,3369
3466,殲,Traditional,殲,Hiragino Sans GB,4061
3467,旨,Simplified,22,casia,3366
3468,浴,Seal,S08336,hzy,3373
3469,獄,Traditional,獄,Hiragino Sans GB,3201
3470,悶,Traditional,悶,SimSun,2675
3471,径,Simplified,径,SimSun,2545
3472,陀,Traditional,31,traditional,3994
3473,税,Seal,S05077,hzy,3016
3474,等,Traditional,16,traditional,4971
3475,喳,Traditional,喳,SimSun,2543
3476,尧,Simplified,尧,Hiragino Sans GB,3272
3477,鸭,Simplified,51,casia,4324
3478,援,Traditional,援,SimSun,4243
3479,攸,Bronze,B04678,hzy,2490
3480,冪,Traditional,冪,SimSun,3704
3481,些,Simplified,些,Hiragino Sans GB,2190
3482,察,Traditional,察,Hiragino Sans GB,3447
3483,调,Simplified,调,Hiragino Sans GB,2162
3484,沽,Simplified,沽,SimSun,2079
3485,臂,Simplified,臂,SimSun,3870
3486,额,Simplified,额,Hiragino Sans GB,3359
3487,偕,Traditional,27,traditional,5731
3488,魯,Traditional,魯,Hiragino Sans GB,3073
3489,荣,Bronze,B08608,hzy,2774
3490,燼,Traditional,燼,SimSun,4085
3491,华,Seal,S04463,hzy,3208
3492,掰,Simplified,掰,SimSun,3877
3493,仞,Simplified,仞,SimSun,2619
3494,悔,Simplified,6,casia,4608
3495,敛,Seal,S02315,hzy,4060
3496,朕,Oracle,J20034,hzy,2953
3497,几,Bronze,B05890,hzy,4101
3498,睿,Bronze,B06122,hzy,3680
3499,烘,Traditional,烘,Hiragino Sans GB,2145
3500,卑,Simplified,卑,SimSun,2934
3501,斑,Traditional,斑,SimSun,3322
3502,簫,Traditional,33,traditional,5837
3503,狡,Traditional,狡,SimSun,3181
3504,彰,Seal,S06486,hzy,3398
3505,晚,Seal,S04813,hzy,3140
3506,戳,Traditional,30,traditional,6149
3507,师,Oracle,J15012,hzy,2080
3508,歇,Traditional,歇,Hiragino Sans GB,3416
3509,餡,Traditional,餡,Hiragino Sans GB,3040
3510,以,Simplified,以,SimSun,2136
3511,梓,Simplified,梓,Hiragino Sans GB,2329
3512,社,Simplified,社,Hiragino Sans GB,1559
3513,若,Traditional,若,SimSun,2331
3514,赚,Simplified,赚,SimSun,3569
3515,急,Simplified,急,SimSun,2713
3516,完,Traditional,完,Hiragino Sans GB,1893
3517,乐,Seal,S04326,hzy,4282
3518,蕁,Traditional,33,traditional,5018
3519,郭,Traditional,郭,SimSun,3355
3520,鬼,Traditional,鬼,Hiragino Sans GB,2816
3521,順,Traditional,順,Hiragino Sans GB,2127
3522,楚,Traditional,楚,Hiragino Sans GB,2776
3523,怠,Seal,S07728,hzy,3044
3524,胰,Traditional,胰,Hiragino Sans GB,2932
3525,焉,Simplified,焉,SimSun,2979
3526,熬,Traditional,熬,Hiragino Sans GB,3570
3527,菊,Traditional,菊,Hiragino Sans GB,2449
3528,绰,Seal,S09849,hzy,4598
3529,鑊,Traditional,鑊,SimSun,5157
3530,产,Simplified,91,casia,2690
3531,煮,Simplified,煮,Hiragino Sans GB,2664
3532,菲,Traditional,菲,Hiragino Sans GB,1259
3533,寿,Bronze,B12903,hzy,3311
3534,蹈,Traditional,44,traditional,6428
3535,轰,Seal,S10791,hzy,4832
3536,邬,Simplified,邬,Hiragino Sans GB,2474
3537,插,Simplified,插,Hiragino Sans GB,2088
3538,克,Traditional,克,SimSun,2399
3539,忿,Simplified,122,casia,4010
3540,橘,Traditional,橘,Hiragino Sans GB,3793
3541,忽,Simplified,73,casia,3766
3542,葡,Traditional,葡,SimSun,2942
3543,宴,Traditional,宴,Hiragino Sans GB,2934
3544,猫,Simplified,39,casia,5483
3545,唧,Simplified,23,casia,4609
3546,玉,Traditional,玉,Hiragino Sans GB,993
3547,吳,Traditional,吳,SimSun,2834
3548,炳,Traditional,炳,Hiragino Sans GB,3020
3549,枕,Simplified,枕,SimSun,3153
3550,襄,Simplified,襄,SimSun,4458
3551,靥,Simplified,靥,SimSun,3487
3552,稚,Simplified,稚,SimSun,3383
3553,癆,Traditional,癆,SimSun,4682
3554,馨,Seal,S05110,hzy,5401
3555,矢,Bronze,B08145,hzy,1662
3556,拍,Simplified,42,casia,4331
3557,萌,Oracle,J01047,hzy,2410
3558,诈,Simplified,101,casia,3128
3559,坏,Simplified,坏,SimSun,2370
3560,闾,Simplified,闾,Hiragino Sans GB,1512
3561,斑,Simplified,斑,Hiragino Sans GB,2304
3562,福,Simplified,福,SimSun,2748
3563,暨,Traditional,28,traditional,6793
3564,鼎,Bronze,B10706,hzy,2419
3565,肝,Traditional,39,traditional,3698
3566,非,Simplified,非,SimSun,1570
3567,琼,Simplified,琼,Hiragino Sans GB,2394
3568,挫,Traditional,31,traditional,4964
3569,寓,Seal,S05272,hzy,3441
3570,偵,Traditional,偵,SimSun,2312
3571,噱,Simplified,40,casia,4760
3572,兄,Simplified,兄,Hiragino Sans GB,1649
3573,坦,Simplified,坦,Hiragino Sans GB,1407
3574,搀,Simplified,搀,SimSun,4502
3575,西,Simplified,西,SimSun,1937
3576,呷,Simplified,呷,Hiragino Sans GB,1491
3577,叶,Simplified,66,casia,2734
3578,梁,Bronze,B08733,hzy,3337
3579,佳,Traditional,4,traditional,3245
3580,剖,Traditional,剖,SimSun,2511
3581,只,Traditional,43,traditional,3780
3582,肛,Traditional,肛,Hiragino Sans GB,1565
3583,漂,Traditional,27,traditional,5367
3584,藜,Simplified,藜,SimSun,5411
3585,庚,Traditional,39,traditional,5655
3586,侄,Traditional,50,traditional,5234
3587,贓,Traditional,14,traditional,6374
3588,寧,Traditional,寧,Hiragino Sans GB,3102
3589,甬,Simplified,甬,SimSun,2564
3590,皂,Simplified,皂,SimSun,2107
3591,矬,Traditional,25,traditional,5207
3592,熬,Simplified,熬,Hiragino Sans GB,3570
3593,陌,Simplified,陌,Hiragino Sans GB,1843
3594,直,Simplified,直,SimSun,2239
3595,攘,Seal,S08824,hzy,4699
3596,遮,Simplified,遮,Hiragino Sans GB,2690
3597,定,Simplified,定,SimSun,2144
3598,婦,Traditional,婦,Hiragino Sans GB,2531
3599,瞎,Simplified,瞎,Hiragino Sans GB,1886
3600,态,Simplified,态,Hiragino Sans GB,2656
3601,渠,Seal,S08173,hzy,3676
3602,翼,Seal,S08658,hzy,4952
3603,棕,Simplified,棕,SimSun,3255
3604,薪,Simplified,薪,SimSun,3951
3605,死,Simplified,死,SimSun,2843
3606,曲,Bronze,B18030,hzy,3471
3607,械,Traditional,械,Hiragino Sans GB,3112
3608,哔,Simplified,哔,Hiragino Sans GB,2004
3609,殊,Traditional,殊,Hiragino Sans GB,2573
3610,尘,Simplified,127,casia,2777
3611,潮,Simplified,29,casia,5138
3612,舰,Simplified,110,casia,4287
3613,嘆,Traditional,42,traditional,5502
3614,牛,Traditional,牛,Hiragino Sans GB,1080
3615,耽,Traditional,耽,Hiragino Sans GB,2418
3616,督,Simplified,7,casia,5121
3617,穗,Simplified,穗,SimSun,4262
3618,費,Traditional,5,traditional,4058
3619,咬,Simplified,咬,SimSun,2625
3620,支,Traditional,支,SimSun,2232
3621,牟,Traditional,牟,SimSun,2372
3622,惭,Simplified,48,casia,5124
3623,疆,Traditional,5,traditional,7498
3624,芳,Simplified,芳,Hiragino Sans GB,1742
3625,透,Simplified,透,Hiragino Sans GB,3039
3626,霓,Simplified,霓,SimSun,3543
3627,锣,Simplified,115,casia,5086
3628,斜,Simplified,45,casia,4233
3629,繪,Traditional,21,traditional,7824
3630,杖,Simplified,4,casia,3785
3631,黏,Simplified,59,casia,5433
3632,利,Seal,S03150,hzy,2796
3633,嬤,Traditional,8,traditional,7057
3634,夏,Traditional,夏,Hiragino Sans GB,3109
3635,谱,Seal,S01932,hzy,4222
3636,森,Simplified,森,SimSun,3769
3637,围,Bronze,B09429,hzy,3134
3638,道,Traditional,道,SimSun,2915
3639,审,Simplified,审,SimSun,1911
3640,灼,Traditional,灼,SimSun,2653
3641,瀕,Traditional,瀕,Hiragino Sans GB,3154
3642,盏,Simplified,盏,SimSun,4663
3643,褶,Traditional,褶,SimSun,3910
3644,夠,Traditional,35,traditional,7023
3645,梓,Traditional,梓,Hiragino Sans GB,2329
3646,农,Simplified,137,casia,4464
3647,绳,Simplified,绳,SimSun,3725
3648,繩,Traditional,繩,SimSun,4275
3649,逢,Simplified,逢,SimSun,3372
3650,旗,Bronze,B10052,hzy,2323
3651,脹,Traditional,脹,Hiragino Sans GB,2444
3652,蹭,Traditional,蹭,SimSun,3888
3653,里,Seal,S10310,hzy,2517
3654,盤,Traditional,32,traditional,6850
3655,污,Traditional,污,SimSun,2479
3656,笑,Traditional,笑,SimSun,3184
3657,拦,Simplified,110,casia,4145
3658,瘦,Simplified,96,casia,5081
3659,戒,Seal,S01978,hzy,3175
3660,豎,Traditional,豎,SimSun,4134
3661,现,Simplified,现,Hiragino Sans GB,2159
3662,岐,Simplified,岐,SimSun,2621
3663,琼,Simplified,86,casia,4158
3664,欺,Traditional,欺,SimSun,3789
3665,菟,Simplified,菟,Hiragino Sans GB,2882
3666,眯,Traditional,38,traditional,5282
3667,侯,Simplified,90,casia,4653
3668,啄,Seal,S01060,hzy,3468
3669,且,Traditional,且,SimSun,1406
3670,塘,Traditional,塘,Hiragino Sans GB,2236
3671,胎,Simplified,胎,Hiragino Sans GB,2377
3672,孛,Seal,S04447,hzy,2659
3673,枷,Seal,S04253,hzy,3072
3674,術,Traditional,10,traditional,4995
3675,酣,Simplified,酣,Hiragino Sans GB,1995
3676,鲁,Simplified,鲁,SimSun,2972
3677,砌,Traditional,砌,SimSun,3085
3678,其,Simplified,13,casia,3065
3679,遲,Traditional,19,traditional,6172
3680,荷,Traditional,荷,Hiragino Sans GB,1790
3681,钟,Bronze,B19305,hzy,4828
3682,雅,Seal,S02597,hzy,3756
3683,立,Traditional,47,traditional,3387
3684,今,Simplified,131,casia,2792
3685,智,Traditional,6,traditional,5647
3686,厚,Simplified,厚,Hiragino Sans GB,1905
3687,惩,Simplified,惩,SimSun,3080
3688,钥,Simplified,110,casia,5278
3689,贰,Bronze,B09583,hzy,3992
3690,递,Seal,S01261,hzy,3590
3691,词,Seal,S06550,hzy,3211
3692,塗,Traditional,1,traditional,5618
3693,老,Bronze,B12817,hzy,2471
3694,话,Simplified,114,casia,4388
3695,摞,Simplified,摞,Hiragino Sans GB,4315
3696,走,Traditional,走,SimSun,2316
3697,终,Simplified,终,SimSun,4036
3698,杏,Simplified,杏,Hiragino Sans GB,1908
3699,肯,Simplified,肯,Hiragino Sans GB,1775
3700,狱,Seal,S07233,hzy,4105
3701,厦,Simplified,厦,SimSun,3682
3702,扼,Simplified,扼,Hiragino Sans GB,2088
3703,停,Seal,S05922,hzy,3229
3704,鄂,Simplified,鄂,Hiragino Sans GB,2247
3705,沽,Bronze,B15540,hzy,2960
3706,宗,Traditional,宗,Hiragino Sans GB,1695
3707,蝎,Seal,S09899,hzy,4076
3708,纾,Simplified,纾,SimSun,3968
3709,焊,Seal,S10580,hzy,2911
3710,也,Simplified,也,SimSun,2648
3711,薪,Traditional,38,traditional,5261
3712,鬧,Traditional,鬧,Hiragino Sans GB,2301
3713,悟,Simplified,悟,SimSun,2717
3714,忽,Bronze,B15433,hzy,2424
3715,渝,Traditional,渝,SimSun,3409
3716,专,Oracle,J06827,hzy,3334
3717,祭,Traditional,祭,SimSun,3525
3718,瘸,Simplified,5,casia,4907
3719,任,Traditional,42,traditional,4168
3720,匹,Simplified,匹,Hiragino Sans GB,1356
3721,唛,Simplified,唛,Hiragino Sans GB,2714
3722,钒,Simplified,钒,Hiragino Sans GB,2098
3723,曼,Traditional,19,traditional,4655
3724,步,Traditional,步,SimSun,2264
3725,蕊,Traditional,11,traditional,3581
3726,而,Simplified,而,Hiragino Sans GB,1339
3727,之,Traditional,之,SimSun,1798
3728,柬,Simplified,柬,Hiragino Sans GB,2122
3729,拟,Simplified,拟,Hiragino Sans GB,2346
3730,鳌,Simplified,鳌,SimSun,5447
3731,瞎,Traditional,41,traditional,6583
3732,盲,Traditional,4,traditional,3741
3733,嗤,Simplified,33,casia,5075
3734,匙,Seal,S05934,hzy,2783
3735,景,Seal,S04804,hzy,2891
3736,溫,Traditional,4,traditional,5288
3737,街,Traditional,街,SimSun,3204
3738,跛,Simplified,跛,SimSun,3809
3739,宵,Traditional,25,traditional,3788
3740,堅,Traditional,堅,SimSun,3323
3741,噫,Simplified,噫,Hiragino Sans GB,2728
3742,紫,Traditional,紫,SimSun,4372
3743,寄,Traditional,寄,Hiragino Sans GB,2410
3744,驟,Traditional,驟,SimSun,5440
3745,荼,Simplified,荼,Hiragino Sans GB,2517
3746,紫,Simplified,紫,SimSun,4372
3747,椒,Traditional,椒,Hiragino Sans GB,2878
3748,由,Simplified,由,Hiragino Sans GB,1253
3749,顎,Traditional,顎,Hiragino Sans GB,3148
3750,颂,Seal,S06364,hzy,3752
3751,叫,Simplified,叫,SimSun,1779
3752,虏,Simplified,虏,Hiragino Sans GB,2431
3753,呛,Simplified,呛,SimSun,2243
3754,燜,Traditional,燜,Hiragino Sans GB,3186
3755,巫,Seal,S03475,hzy,2395
3756,蝉,Seal,S09949,hzy,4585
3757,朔,Simplified,朔,SimSun,2992
3758,晋,Bronze,B09969,hzy,3364
3759,敲,Traditional,21,traditional,5215
3760,孽,Seal,S10983,hzy,4465
3761,觅,Simplified,觅,SimSun,2880
3762,烁,Simplified,105,casia,4625
3763,庙,Bronze,B14344,hzy,3095
3764,殷,Simplified,殷,SimSun,3039
3765,硒,Simplified,硒,Hiragino Sans GB,2251
3766,泌,Simplified,泌,Hiragino Sans GB,2858
3767,芝,Traditional,芝,Hiragino Sans GB,2122
3768,姚,Traditional,姚,SimSun,3859
3769,瘸,Simplified,瘸,SimSun,4357
3770,搏,Simplified,73,casia,5363
3771,屄,Traditional,31,traditional,5058
3772,拿,Simplified,54,casia,3784
3773,致,Traditional,致,Hiragino Sans GB,3363
3774,识,Bronze,B03007,hzy,3102
3775,此,Traditional,此,Hiragino Sans GB,2052
3776,迭,Traditional,迭,SimSun,3043
3777,樊,Traditional,8,traditional,5897
3778,搬,Traditional,44,traditional,6206
3779,翩,Traditional,翩,SimSun,4004
3780,傅,Simplified,114,casia,4860
3781,敲,Simplified,47,casia,5198
3782,妲,Traditional,妲,Hiragino Sans GB,2348
3783,司,Traditional,16,traditional,3290
3784,术,Simplified,术,SimSun,1810
3785,誕,Traditional,誕,SimSun,3719
3786,菩,Traditional,菩,Hiragino Sans GB,1635
3787,壤,Traditional,壤,SimSun,4864
3788,昌,Simplified,18,casia,3872
3789,緊,Traditional,緊,SimSun,5068
3790,妃,Traditional,32,traditional,4754
3791,沭,Simplified,沭,Hiragino Sans GB,2145
3792,蘋,Traditional,22,traditional,5057
3793,遭,Traditional,30,traditional,5388
3794,腻,Simplified,78,casia,5783
3795,窠,Simplified,窠,SimSun,3367
3796,城,Simplified,城,SimSun,3540
3797,淡,Traditional,淡,SimSun,3646
3798,孩,Simplified,孩,Hiragino Sans GB,3146
3799,窄,Simplified,11,casia,3952
3800,料,Seal,S10664,hzy,3561
3801,祸,Simplified,祸,SimSun,2845
3802,熱,Traditional,15,traditional,6108
3803,竖,Simplified,竖,SimSun,3137
3804,岸,Traditional,25,traditional,3092
3805,猴,Traditional,猴,Hiragino Sans GB,3222
3806,峽,Traditional,峽,SimSun,2828
3807,掟,Traditional,14,traditional,6167
3808,纲,Simplified,纲,Hiragino Sans GB,3671
3809,嬉,Traditional,嬉,Hiragino Sans GB,3299
3810,掩,Traditional,41,traditional,6287
3811,跌,Simplified,跌,Hiragino Sans GB,2667
3812,洽,Seal,S08249,hzy,3179
3813,桔,Simplified,桔,SimSun,2370
3814,蔫,Simplified,蔫,SimSun,3558
3815,千,Simplified,12,casia,2113
3816,毛,Traditional,毛,SimSun,2559
3817,櫥,Traditional,櫥,Hiragino Sans GB,3188
3818,簿,Traditional,38,traditional,5825
3819,巨,Simplified,巨,Hiragino Sans GB,947
3820,光,Seal,S07367,hzy,2397
3821,颤,Simplified,颤,SimSun,4105
3822,痛,Simplified,痛,SimSun,3039
3823,棧,Traditional,38,traditional,5558
3824,多,Seal,S04951,hzy,2610
3825,閘,Traditional,46,traditional,4910
3826,灰,Seal,S07296,hzy,2655
3827,虞,Simplified,138,casia,4558
3828,農,Traditional,農,SimSun,3487
3829,搞,Traditional,31,traditional,4669
3830,孚,Traditional,孚,Hiragino Sans GB,1998
3831,锐,Simplified,50,casia,4649
3832,毁,Simplified,毁,SimSun,3642
3833,茜,Traditional,茜,Hiragino Sans GB,1628
3834,徹,Traditional,11,traditional,6107
3835,铀,Simplified,39,casia,5104
3836,结,Simplified,结,Hiragino Sans GB,2572
3837,奇,Traditional,奇,Hiragino Sans GB,2239
3838,問,Traditional,47,traditional,4148
3839,櫥,Traditional,櫥,SimSun,3997
3840,竭,Simplified,竭,SimSun,3792
3841,屈,Bronze,B13223,hzy,2660
3842,戈,Traditional,19,traditional,3195
3843,吭,Simplified,吭,SimSun,2303
3844,垃,Simplified,垃,SimSun,2809
3845,宫,Simplified,宫,Hiragino Sans GB,1565
3846,忠,Traditional,忠,SimSun,2061
3847,润,Simplified,润,Hiragino Sans GB,2067
3848,伍,Seal,S05781,hzy,2630
3849,构,Simplified,38,casia,4685
3850,默,Simplified,默,Hiragino Sans GB,3011
3851,扁,Traditional,38,traditional,4577
3852,婴,Simplified,婴,SimSun,3613
3853,突,Oracle,J17964,hzy,2512
3854,姚,Simplified,姚,SimSun,3859
3855,夕,Bronze,B10531,hzy,2016
3856,怨,Simplified,80,casia,4575
3857,粉,Simplified,54,casia,5015
3858,女,Simplified,女,Hiragino Sans GB,2352
3859,蛋,Traditional,蛋,SimSun,3062
3860,鉉,Traditional,35,traditional,5970
3861,局,Simplified,局,Hiragino Sans GB,1955
3862,锕,Simplified,5,casia,5001
3863,擇,Traditional,擇,SimSun,3967
3864,玷,Traditional,玷,SimSun,2315
3865,细,Seal,S09607,hzy,3996
3866,鎘,Traditional,鎘,SimSun,3862
3867,合,Simplified,51,casia,3130
3868,舟,Bronze,B13225,hzy,1854
3869,集,Simplified,集,SimSun,3136
3870,囗,Simplified,囗,SimSun,1100
3871,昆,Simplified,79,casia,4301
3872,矮,Traditional,矮,Hiragino Sans GB,3860
3873,薈,Traditional,薈,Hiragino Sans GB,3198
3874,柚,Traditional,柚,SimSun,2465
3875,淇,Simplified,淇,Hiragino Sans GB,2232
3876,潛,Traditional,10,traditional,5298
3877,噙,Simplified,12,casia,5468
3878,褶,Simplified,褶,Hiragino Sans GB,2814
3879,善,Traditional,善,SimSun,2659
3880,日,Bronze,B09952,hzy,1862
3881,恰,Seal,S07882,hzy,3247
3882,座,Traditional,座,Hiragino Sans GB,2340
3883,佐,Traditional,15,traditional,4481
3884,募,Traditional,募,SimSun,3449
3885,瓷,Traditional,35,traditional,5816
3886,娃,Simplified,娃,Hiragino Sans GB,2395
3887,矛,Bronze,B19530,hzy,3490
3888,往,Traditional,往,Hiragino Sans GB,1719
3889,寓,Traditional,1,traditional,6454
3890,匙,Simplified,91,casia,4803
3891,难,Seal,S02743,hzy,4880
3892,毯,Traditional,17,traditional,5381
3893,梭,Traditional,30,traditional,5471
3894,馆,Simplified,馆,SimSun,3086
3895,眛,Traditional,眛,Hiragino Sans GB,2175
3896,翘,Simplified,翘,Hiragino Sans GB,3797
3897,疯,Simplified,137,casia,3975
3898,举,Simplified,举,Hiragino Sans GB,2076
3899,岂,Simplified,岂,Hiragino Sans GB,1377
3900,羽,Bronze,B05445,hzy,1885
3901,哥,Traditional,哥,SimSun,2250
3902,煞,Traditional,44,traditional,5876
3903,李,Bronze,B08570,hzy,2839
3904,辛,Oracle,J30487,hzy,1997
3905,恩,Seal,S07635,hzy,3366
3906,助,Simplified,75,casia,4404
3907,秦,Oracle,J17241,hzy,3653
3908,弦,Traditional,弦,Hiragino Sans GB,2679
3909,整,Seal,S02294,hzy,3712
3910,隋,Simplified,隋,SimSun,3709
3911,恤,Bronze,B07707,hzy,3423
3912,锥,Simplified,锥,SimSun,3468
3913,驱,Seal,S07035,hzy,4356
3914,蓓,Traditional,33,traditional,5083
3915,遛,Simplified,53,casia,5086
