,rendered_character,period,image_ID,dataset,SVG description length
10296,勘,Simplified,135,casia,5179
10297,借,Simplified,借,SimSun,2733
10298,依,Traditional,29,traditional,4214
10299,摄,Simplified,109,casia,5140
10300,泓,Simplified,16,casia,4016
10301,莫,Oracle,J01357,hzy,2560
10302,娄,Seal,S09332,hzy,4209
10303,矢,Oracle,J13179,hzy,2207
10304,吁,Simplified,吁,SimSun,1632
10305,祯,Simplified,祯,SimSun,2700
10306,須,Traditional,須,SimSun,3265
10307,豚,Simplified,豚,Hiragino Sans GB,3449
10308,吁,Seal,S01014,hzy,2060
10309,李,Simplified,李,SimSun,2408
10310,言,Traditional,言,SimSun,1558
10311,臂,Simplified,76,casia,4630
10312,冀,Simplified,81,casia,4431
10313,桃,Simplified,桃,SimSun,2900
10314,存,Traditional,43,traditional,4074
10315,企,Traditional,企,SimSun,2175
10316,浴,Traditional,浴,SimSun,2964
10317,颈,Simplified,颈,SimSun,3391
10318,墙,Simplified,墙,SimSun,3611
10319,孬,Traditional,孬,SimSun,4035
10320,闻,Seal,S08787,hzy,3044
10321,畦,Traditional,12,traditional,4646
10322,玄,Bronze,B05934,hzy,2016
10323,嬷,Simplified,嬷,SimSun,4961
10324,伊,Seal,S05675,hzy,2813
10325,梦,Oracle,J18014,hzy,2620
10326,究,Simplified,究,Hiragino Sans GB,2375
10327,淹,Simplified,淹,Hiragino Sans GB,3231
10328,滨,Simplified,滨,Hiragino Sans GB,2902
10329,礙,Traditional,礙,SimSun,4929
10330,毛,Simplified,毛,Hiragino Sans GB,2098
10331,仓,Oracle,J13026,hzy,3657
10332,截,Traditional,49,traditional,6075
10333,尷,Traditional,尷,SimSun,4215
10334,挡,Seal,S08908,hzy,4702
10335,杵,Simplified,杵,SimSun,2698
10336,豪,Simplified,40,casia,4362
10337,畝,Traditional,畝,Hiragino Sans GB,2732
10338,萁,Traditional,萁,Hiragino Sans GB,2165
10339,叉,Simplified,58,casia,4009
10340,独,Simplified,52,casia,4549
10341,竺,Simplified,竺,SimSun,2596
10342,奏,Traditional,奏,SimSun,3290
10343,彽,Traditional,彽,Hiragino Sans GB,2592
10344,謾,Traditional,謾,SimSun,4261
10345,墓,Traditional,36,traditional,6618
10346,一,Simplified,一,Hiragino Sans GB,609
10347,嘬,Traditional,19,traditional,6717
10348,奠,Bronze,B06796,hzy,3027
10349,音,Simplified,音,SimSun,2195
10350,敌,Seal,S02320,hzy,3919
