,image_path,perimetric_complexity,pixel_complexity
87,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/京_Simplified_京.png,284.3240465900137,1164.0
88,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/亭_Simplified_亭.png,331.16960558561584,1440.0
89,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/亮_Simplified_亮.png,347.54547553142703,1466.0
90,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/亲_Simplified_亲.png,311.08334486525496,1246.0
91,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/人_Simplified_人.png,165.13555834630665,503.0
92,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/亿_Simplified_亿.png,262.7263625610986,950.0
93,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/什_Simplified_什.png,191.30570973402453,801.0
94,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/仁_Simplified_仁.png,169.08555158037072,694.0
95,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/仄_Simplified_仄.png,248.83170504099644,917.0
96,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/仅_Simplified_仅.png,310.73113494317647,1091.0
97,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/仆_Simplified_仆.png,188.2799670233983,722.0
98,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/仇_Simplified_仇.png,261.72147046703856,1041.0
99,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/今_Simplified_今.png,209.2611242559865,643.0
