character,pinyin,period,type,complexity,dataset,image_ID,dropdown_label
陈,chen2,Bronze,other,340.9253580353743,hzy,B19765,陈 (chen2)
陈,chen2,Seal,other,375.5758104247896,hzy,S10874,陈 (chen2)
陋,lou4,Seal,other,383.6466769034295,hzy,S10822,陋 (lou4)
降,jiang4,Bronze,pictophonetic,313.1161666546077,hzy,B19737,降 (jiang4)
降,jiang4,Oracle,pictophonetic,256.281006499756,hzy,J29543,降 (jiang4)
降,jiang4,Seal,pictophonetic,363.83983372259627,hzy,S10831,降 (jiang4)
限,xian4,Bronze,pictophonetic,244.5428331951661,hzy,B19713,限 (xian4)
限,xian4,Seal,pictophonetic,358.9907589509599,hzy,S10813,限 (xian4)
院,yuan4,Seal,pictophonetic,338.58670387647027,hzy,S10895,院 (yuan4)
除,chu2,Seal,pictophonetic,358.356489630939,hzy,S10879,除 (chu2)
陨,yun3,Bronze,pictophonetic,291.6840432301803,hzy,B19750,陨 (yun3)
陨,yun3,Seal,pictophonetic,364.8760334090031,hzy,S10832,陨 (yun3)
险,xian3,Seal,pictophonetic,387.05954973073295,hzy,S10812,险 (xian3)
陪,pei2,Seal,pictophonetic,398.53461725030405,hzy,S10886,陪 (pei2)
陵,ling2,Bronze,pictophonetic,267.7551174945328,hzy,B19683,陵 (ling2)
陵,ling2,Oracle,pictophonetic,201.03537787992076,hzy,J29475,陵 (ling2)
陵,ling2,Seal,pictophonetic,358.8850319592302,hzy,S10800,陵 (ling2)
陶,tao2,Bronze,pictophonetic,197.86139548218404,hzy,B19770,陶 (tao2)
陶,tao2,Seal,pictophonetic,377.95382238441175,hzy,S10876,陶 (tao2)
陷,xian4,Seal,pictophonetic,365.85333001197375,hzy,S10826,陷 (xian4)
隅,yu2,Seal,pictophonetic,422.6369390165326,hzy,S10811,隅 (yu2)
隆,long2,Seal,other,409.7394303568232,hzy,S04454,隆 (long2)
隋,sui2,Seal,other,366.23871645356576,hzy,S03057,隋 (sui2)
随,sui2,Seal,other,421.853148612152,hzy,S01224,随 (sui2)
隐,yin3,Seal,other,447.624468507458,hzy,S10855,隐 (yin3)
隔,ge2,Seal,pictophonetic,452.0336377578578,hzy,S10853,隔 (ge2)
