,rendered_character,simplified_character,period,image_id,distinctiveness,nearest neighbours,perimetric_complexity,pixel_complexity
98,俱,俱,Bronze,B12300,119.73105714081942,"['边', '晨', '具', '祖', '承', '鸣', '共', '员', '皮', '洛']",34.563399419373674,12614.0
99,慕,慕,Bronze,B15407,122.95109950068,"['晨', '边', '鹿', '使', '卫', '苛', '解', '齿', '虞', '稣']",37.44446038543378,11607.0
100,玉,玉,Bronze,B00545,82.33061264901734,"['王', '壬', '工', '功', '三', '于', '士', '上', '五', '牙']",25.487456595330208,9002.0
101,减,减,Bronze,B15627,120.24706894507445,"['旧', '待', '送', '龟', '怀', '堵', '闻', '傅', '洛', '边']",44.69719710592538,14750.0
102,页,页,Bronze,B13616,118.0361696315486,"['皇', '彼', '得', '节', '惠', '恵', '季', '解', '喜', '马']",23.13014705231274,8929.0
103,谁,谁,Bronze,B03123,121.92697927069912,"['好', '虽', '唯', '许', '队', '备', '丁', '讼', '辨', '十']",36.9666406859058,13422.0
104,再,再,Bronze,B05812,120.81407509256084,"['伏', '屈', '匀', '丹', '敌', '只', '桐', '禄', '百', '适']",41.11627366799591,14298.0
105,莫,莫,Bronze,B00836,146.65568049592326,"['鄂', '荒', '环', '春', '礼', '息', '炎', '诸', '慕', '茅']",41.67022859528997,12893.0
106,首,首,Bronze,B13738,114.57311881796171,"['诸', '自', '步', '克', '同', '小', '仓', '忘', '目', '增']",33.190279941738645,11689.0
107,冲,冲,Bronze,B15567,122.68499740475588,"['牧', '搏', '午', '朱', '甲', '赦', '保', '边', '功', '梅']",32.507918543754656,10378.0
108,交,交,Bronze,B15082,98.04391391801684,"['立', '大', '位', '文', '免', '方', '蔡', '赤', '亦', '斗']",22.474332694607767,7935.0
109,朝,朝,Bronze,B10018,132.14005994136528,"['折', '游', '断', '誓', '备', '载', '饭', '报', '拜', '坡']",38.18363458516838,12918.0
110,岩,岩,Bronze,B01684,127.01436687714155,"['罚', '教', '器', '齿', '毁', '为', '蜀', '鄂', '骆', '织']",35.407493315543334,12777.0
111,戎,戎,Bronze,B17450,109.00345889926729,"['禹', '凡', '非', '反', '仁', '如', '丹', '井', '朱', '天']",26.504989356999506,9438.0
112,聋,聋,Bronze,B16275,123.79430935415648,"['戏', '敖', '虽', '节', '扑', '恕', '雷', '梅', '野', '夹']",44.600931820941845,15802.0
113,目,目,Bronze,B04987,106.97279490756776,"['臣', '百', '玄', '自', '夕', '小', '吕', '五', '同', '贝']",28.29406322775776,8968.0
114,宿,宿,Bronze,B11689,132.30620797127648,"['夺', '鱼', '要', '室', '庙', '寓', '扬', '寒', '宴', '厉']",44.11767426619826,15086.0
115,姬,姬,Bronze,B16655,121.97654674515516,"['卿', '视', '畏', '限', '尊', '待', '廿', '佩', '口', '海']",37.6611464726381,14497.0
