,rendered_character,simplified_character,period,image_id,dataset,distinctiveness,nearest neighbours,period_stream
58,乘,乘,Bronze,B08549,hzy,115.63944671442805,"['赤', '唯', '帝', '来', '去', '至', '鸟', '承', '戚', '上']",Oracle
59,今,今,Bronze,B08021,hzy,96.18546840547091,"['白', '伯', '兮', '亡', '文', '人', '六', '终', '公', '角']",Oracle
60,增,增,Bronze,B18733,hzy,122.20801406442396,"['曾', '步', '首', '仓', '小', '旬', '畜', '即', '唐', '克']",Oracle
61,帛,帛,Bronze,B12068,hzy,111.9783135210496,"['邑', '子', '足', '不', '君', '辛', '且', '旦', '死', '至']",Oracle
62,丽,丽,Bronze,B14725,hzy,151.6626150516819,"['遣', '言', '鹿', '育', '虞', '羽', '侄', '受', '媚', '晨']",Oracle
63,尽,尽,Bronze,B07666,hzy,136.58827380994524,"['画', '始', '袭', '河', '基', '虞', '旧', '受', '育', '秉']",Oracle
64,方,方,Bronze,B13436,hzy,92.8665829026708,"['矢', '士', '于', '元', '位', '立', '大', '天', '六', '朱']",Oracle
65,乙,乙,Bronze,B20239,hzy,87.42352087478899,"['午', '上', '斗', '人', '壬', '己', '乃', '工', '口', '廿']",Oracle
66,进,进,Bronze,B02061,hzy,134.27282051170047,"['退', '逆', '保', '迟', '仆', '传', '疆', '强', '及', '受']",Oracle
67,彻,彻,Bronze,B04546,hzy,150.79531363140248,"['败', '鼓', '聋', '虞', '蔑', '兽', '员', '福', '而', '冲']",Oracle
68,周,周,Bronze,B01548,hzy,123.16359489929464,"['门', '闻', '用', '井', '丹', '宋', '因', '晨', '步', '百']",Oracle
69,伐,伐,Bronze,B12392,hzy,105.57251685967891,"['葬', '休', '北', '天', '戚', '率', '化', '攸', '我', '丘']",Oracle
70,绥,绥,Bronze,B18295,hzy,121.45783640143516,"['妾', '且', '卜', '帛', '高', '冬', '死', '毕', '得', '子']",Oracle
71,阳,阳,Bronze,B19698,hzy,125.60487716244872,"['畏', '视', '卜', '冬', '闻', '成', '廿', '丹', '厂', '晨']",Oracle
72,止,止,Bronze,B01799,hzy,92.08634402372486,"['山', '卅', '之', '舟', '丘', '士', '生', '正', '曰', '廿']",Oracle
73,兵,兵,Bronze,B03383,hzy,110.82844636842108,"['厂', '上', '征', '卜', '午', '冬', '葬', '安', '廿', '齐']",Oracle
74,会,会,Bronze,B08051,hzy,128.02501425028885,"['疆', '强', '尊', '迟', '逢', '宣', '卫', '退', '飨', '乙']",Oracle
75,冲,冲,Bronze,B15567,hzy,124.31662300075608,"['牧', '午', '朱', '甲', '保', '七', '上', '戚', '厂', '葬']",Oracle
76,百,百,Bronze,B05403,hzy,108.40718685990376,"['因', '目', '夕', '合', '依', '丹', '月', '井', '贝', '旦']",Oracle
77,干,干,Bronze,B02775,hzy,95.28222399017736,"['木', '朱', '才', '千', '甲', '生', '于', '至', '七', '士']",Oracle
