participantid,condition,trialnum,character,rating,flip,controlscore
49,hwtrad,2,页,0,noflip,5
49,hwtrad,3,糸,2,flip,5
49,hwtrad,4,马,1,noflip,5
49,hwtrad,5,夭,2,noflip,5
49,hwtrad,6,单,3,noflip,5
49,hwtrad,7,它,1,noflip,5
49,hwtrad,8,父,1,noflip,5
49,hwtrad,9,方,1,flip,5
49,hwtrad,10,壶,4,noflip,5
49,hwtrad,11,克,0,flip,5
49,hwtrad,12,登,1,flip,5
49,hwtrad,13,兕,1,flip,5
49,hwtrad,14,主,1,flip,5
49,hwtrad,15,鬼,4,noflip,5
49,hwtrad,16,勿,1,flip,5
49,hwtrad,17,廾,1,flip,5
49,hwtrad,18,歹,1,flip,5
49,hwtrad,19,介,0,noflip,5
49,hwtrad,20,口,1,flip,5
49,hwtrad,21,秋,0,flip,5
49,hwtrad,22,向,3,flip,5
49,hwtrad,23,火,0,flip,5
49,hwtrad,24,才,3,flip,5
49,hwtrad,25,以,4,flip,5
49,hwtrad,26,而,1,noflip,5
49,hwtrad,27,勺,1,noflip,5
49,hwtrad,28,卜,2,noflip,5
49,hwtrad,29,斗,1,flip,5
49,hwtrad,30,矢,1,flip,5
49,hwtrad,31,control_咫_只,4,flip,5
49,hwtrad,32,工,1,noflip,5
49,hwtrad,33,雨,4,flip,5
49,hwtrad,34,于,4,flip,5
49,hwtrad,35,龟,5,noflip,5
49,hwtrad,36,山,0,flip,5
49,hwtrad,37,月,0,flip,5
49,hwtrad,38,control_乇_七,5,noflip,5
49,hwtrad,39,齿,5,flip,5
49,hwtrad,40,九,2,flip,5
49,hwtrad,41,control_刓_元,3,flip,5
49,hwtrad,42,首,4,noflip,5
49,hwtrad,43,蜀,4,flip,5
49,hwtrad,44,高,4,flip,5
49,hwtrad,45,甫,4,noflip,5
49,hwtrad,46,豆,3,noflip,5
49,hwtrad,47,曲,4,noflip,5
49,hwtrad,48,辰,1,noflip,5
49,hwtrad,49,斤,4,flip,5
